id,name,fragments
C1,Cocktail 1,BF-0702-05-F11,FS-2142-01-C04,PS-6442-06-H02,PS-6380-01-H07,FS-2981-03-C03,CS-4014-05-A09,KD-0765-06-B05,FS-1327-03-D09,FS-1170-01-B01,6H-024-05-G05,FS-2194-04-B02,AB-0823-05-G08,FS-3350-03-G03,6R-0828-02-H03,PS-8604-02-G10,12T-0805-02-D01,PS-8905-02-C09,ND-0719-05-D09,PS-8223-02-A08,FS-1148-02-H12,FS-1176-03-A01,FS-1438-03-D01,AS-5731-06-D04,1R-0641-03-F06,FS-2931-03-B03,DA-0842-04-C03,PS-6882-02-E07,TS-03277-03-G05,AS-5117-01-A02,PS-6431-01-G06,FS-2640-01-C02,PS-8104-06-D02
C2,Cocktail 2,DS-7111-05-C02,SS-4432-05-C11,TS-02206-05-H12,GC-0754-04-F10,MS-0024-05-C06,1W-0906-02-H02,SS-4957-05-B11,FS-1589-03-F09,MS-0200-05-F03,FS-2196-03-A10,9R-0342-06-F04,AS-5545-06-C04,4Z-0721-06-B01,FS-3514-06-E05,SS-3605-05-G10,FS-1039-06-G02,TS-02099-03-F04,PS-9071-02-F08,PS-7428-02-A10,PS-8445-02-H08,GC-0800-02-F04,EA-0869-06-C05,FS-1069-01-A04,PS-6410-06-E01,8J-028-02-F01,9B-057-04-A01,BS-9785-05-B01,FS-2796-01-A10,PS-6804-05-G07,7G-317S-04-D11,TS-03154-03-F05,PS-8337-01-B03
C3,Cocktail 3,PS-6724-01-B05,FS-2759-01-F06,9M-567S-02-E02,BH-0430-02-A12,LB-0732-05-H01,BS-4026-03-G12,FS-3450-06-B03,MS-2340-05-C04,FS-2561-05-A05,AS-9327-02-D11,PS-9036-02-F09,PS-6657-04-D08,PS-8716-02-C07,FS-1258-02-A05,TS-02168-03-G04,PS-6636-06-D03,CL-0786-05-A11,FS-3791-01-F09,BS-4164-04-F02,GH-0708-05-D11,EC-0707-04-D10,FS-1731-02-E04,FS-2555-04-D06,2G-014-02-H01,2R-1501-03-C07,PS-6630-01-B07,MS-2501-05-D04,FS-2051-05-H04,MA-0809-04-C05,MS-6175-01-C06,7R-1066-02-E03,BS-4238-01-H05
C4,Cocktail 4,AS-8515-02-E06,NC-0761-06-D05,FS-1333-01-F08,SS-4323-05-E09,BH-0429-02-H11,PS-6504-02-C11,NC-0721-04-F12,AS-5205-02-H05,FS-3503-01-H04,4T-0267-04-A09,BS-2129-05-A01,FS-1293-02-D04,FS-2429-02-A07,FS-2236-03-C02,1R-0678-05-A06,BS-4170-05-A10,FS-3143-03-D03,PS-8226-02-B10,HR-0321-01-H01,5P-024-03-F07,8J-537S-05-H05,FS-3394-04-E04,2K-318S-05-H02,PS-8094-01-C03,PS-6425-01-E07,3G-055-01-C12,3R-1522-03-D07,TS-02994-02-G04,AS-9258-01-E05,AS-8450-02-C06,GF-0700-05-C12,PS-6806-06-F02
C5,Cocktail 5,TS-02867-01-A06,PS-6612-01-A07,PS-6574-01-D07,FS-1999-01-E06,HR-0325-02-D05,AS-8464-02-D06,FS-1183-02-E11,3R-0704-02-F03,AS-9349-02-F06,PS-6969-02-F07,PS-8996-02-F10,FS-2198-03-B10,FS-3689-03-D04,11P-616-03-D06,FS-1598-03-E01,TS-03120-03-E05,1Z-0027-03-G06,TS-03303-03-H05,2F-418S-03-H06,FF-0751-04-A04,AD-0719-04-B01,PS-6890-04-B07,FS-1245-04-B11,SS-4402-04-C06,DB-0604-04-D03,BB-0603-04-E09,CS-4048-04-H02,FS-2096-05-D10,GS-4117-05-D12,FS-3750-06-F01,BS-4205-06-F05,MS-7321-06-G04
C6,Cocktail 6,AS-5707-01-B02,6G-428S-01-B12,1F-062-01-D12,TS-02982-01-F01,PS-7932-01-H02,1N-029-02-A02,EG-0028-02-C12,3R-0710-02-D03,PS-7894-02-E09,11J-336S-03-B06,BS-3849-03-B12,TS-02908-03-C05,BS-3948-03-D12,FS-2348-03-G02,6P-094-03-G07,7C-131-03-H07,CS-4413-04-B03,4T-1305-04-B09,SS-4426-04-C10,BS-4163-04-D01,FS-3190-04-D04,8T-0212-04-D09,EE-0755-04-E01,BS-4058-04-E02,MS-3534-04-F05,BE-0067-04-G01,FA-0727-04-H11,CS-10539-05-B02,CK-0224-05-E01,MS-0543-05-G03,AE-0227-05-H08,BS-9729-06-H05
C7,Cocktail 7,FS-2581-01-A09,FS-2497-01-G07,3J-324S-01-G12,9M-351S-02-A03,PS-6513-02-B07,FG-0475-02-D12,GE-0007-02-F05,BH-0410-02-G11,PS-8603-02-H09,10W-0838-03-A06,7R-1061-03-C08,8M-709-03-D08,PS-6515-03-D10,5E-328S-03-E07,PS-6655-03-G10,FS-3470-03-H03,LB-0702-04-B05,AS-7070-04-C01,NF-0707-04-G10,FS-1114-04-H06,FS-2031-04-H07,EG-0041-05-A02,MS-1966-05-B04,FS-2562-05-B05,BS-3937-05-B10,ED-0041-05-C01,PS-6698-05-F07,10M-523S-05-H07,FS-1145-05-H09,PS-8350-06-E03,FS-2003-06-E04
C8,Cocktail 8,FS-1683-01-B04,GE-0239-01-C05,BH-0405-01-C10,FS-1075-01-E04,FS-3240-01-G04,5N-805-02-B02,8T-0292-02-C04,PS-8643-02-E10,BH-0409-02-F11,BS-3794-03-A12,FS-1254-03-B01,7T-0235-03-D11,9L-021-03-E08,FS-1439-03-E09,FS-2343-03-F02,BS-4038-03-H12,AS-9408-04-E07,BD-0278-04-F11,CE-0217-04-G02,KC-0757-04-H04,7R-1374-05-A08,LF-0032-05-B12,4T-1121-05-C03,GS-3897-05-D02,MS-1061-05-D07,PS-6578-05-E06,MS-11017-05-F09,PS-6642-05-G06,KK-0202-05-G11,PS-6325-05-H06,HF-0048-05-H11,PS-6549-06-D01
C9,Cocktail 9,3Y-0926-01-A11,FS-3265-01-B09,FS-1652-01-D08,5E-366S-01-D11,MF-0046-01-E10,3C-084-01-E12,AS-8811-01-F02,7G-014-01-F12,TS-03113-01-H03,2W-0359-02-B01,PS-8613-02-B11,BH-0441-02-B12,TS-03297-02-G05,7H-076-03-A08,FS-2154-03-B02,FS-1103-03-B09,3N-528S-03-B11,FS-2090-03-H09,PS-6762-03-H10,RS-0248-04-B06,FS-3482-04-B08,HD-0716-04-D07,FA-0625-04-F09,PS-6550-04-G12,3J-330S-05-B03,MS-0046-05-B07,DF-0721-05-D01,11W-0279-05-D05,PS-6573-05-E07,SS-4752-05-H10,FS-1169-06-A03,AS-8985-06-A06
C10,Cocktail 10,1F-380S-01-C01,FS-2084-01-D03,AS-8754-01-E02,FS-3745-01-E03,BS-3997-01-F05,11W-0200-01-H11,TS-02592-02-A06,AS-8269-02-B06,PS-8688-02-B08,12N-206-02-F02,PS-6602-02-H06,FS-3647-03-C04,BS-3883-03-C12,FS-1624-03-F01,FS-1041-03-F08,JS-1272-04-A11,BS-4039-04-D02,MD-0740-04-D05,FS-1324-04-E06,MG-0004-04-G11,11K-343S-05-A03,FS-2648-05-B06,9W-0332-05-C08,PS-6575-05-D06,GS-3959-05-E02,MS-6475-05-F04,5D-116-05-F05,CS-4050-05-G01,AD-0724-05-G02,FS-2635-06-A02,FS-3506-06-G03
C11,Cocktail 11,PS-8638-01-A03,6X-0933-01-B11,SS-4760-01-C07,FS-1223-01-C08,AS-8752-01-D02,MS-6903-01-D06,FS-1980-01-E09,5X-0247-01-E11,TS-02036-01-F03,PS-6500-01-G05,11T-0672-02-B04,2R-0679-02-C03,PS-9056-02-E05,FS-1127-02-G08,FS-1104-02-G12,FS-2328-03-E02,FS-3202-03-E03,PS-6631-03-F10,TS-02228-03-H04,CS-4224-04-A03,PS-6686-04-A07,GD-0077-04-A10,FS-1784-04-B04,PS-6653-04-C08,DD-0212-04-E03,MS-3335-04-E05,EF-0235-04-G03,MD-0701-04-H10,MS-0440-05-C07,FS-3619-05-E10,FS-1092-06-B02
C12,Cocktail 12,TS-02051-01-A08,FS-1314-01-D09,CF-0051-01-F10,FS-1975-01-G08,2X-0834-01-G11,9H-028-02-A01,PS-6867-02-B05,10L-769-02-C01,5N-373S-02-C02,PS-8873-02-E08,PS-6483-02-G06,2P-027-03-A07,FS-1099-03-A09,7C-016-03-C11,TS-03071-03-D05,BS-3950-03-F12,FS-1751-03-G01,FS-1046-03-G08,FS-2076-03-G09,FS-1085-03-H08,BS-3599-03-H11,FS-2089-04-A08,SS-4358-04-B10,AS-8282-04-G06,KA-0811-04-G09,8P-307S-05-B08,MS-0018-05-D03,4W-0886-05-E05,EC-0736-05-E08,PS-6587-05-F06,EH-0717-05-F08
C13,Cocktail 13,MS-7310-01-A05,MS-6836-01-B06,PS-6387-01-D04,FS-3489-01-E01,DA-0856-01-G10,3Y-0812-01-H10,9R-0045-02-A04,1K-340S-02-G01,PS-7527-02-H07,AD-0189-03-E11,BS-3549-03-G11,PS-6866-04-A06,FS-3074-04-C04,ED-0228-04-C07,12T-0332-04-C11,FS-1155-04-C12,PS-8005-04-E08,AD-0759-04-E11,PS-6854-04-F06,JS-2771-04-G04,GC-0749-04-H01,PS-8355-04-H12,10F-025-05-C05,MS-1567-05-C09,LF-0029-05-F10,SS-4792-05-F12,FS-1303-05-G04,MS-0446-05-H03,FS-2223-06-A01,3W-0219-06-A05,PS-6750-06-F03
C14,Cocktail 14,4X-0271-01-C11,TS-02916-01-E08,4X-0816-01-F11,PS-9104-01-G02,FS-2306-01-G09,1N-002-02-D02,4M-917-02-E01,12N-239-02-G02,11T-0255-03-A11,FS-3618-03-B04,PS-6307-03-C10,FS-2320-03-D02,12R-0262-03-E06,BS-3949-03-E12,FS-3266-03-F03,FS-2563-03-H02,SS-4428-04-A12,SS-4423-04-B12,KS-1346-04-E12,NC-0755-04-G05,FK-0736-04-G07,FA-0838-04-H03,ND-0716-04-H05,MS-1556-05-A04,PS-6506-05-A07,FP-0056-05-E12,KD-0707-05-F01,AS-1020-05-F02,PS-6696-06-B04,FS-1051-06-C03,TS-01956-06-E02
C15,Cocktail 15,TS-02539-01-B08,FS-3642-01-C09,11T-0875-01-D01,BS-4139-01-F04,HR-0309-01-G01,PS-6446-01-H06,FS-2594-01-H09,AS-5627-01-H12,1R-0662-02-B03,PS-8768-02-D07,FS-2120-02-D09,FS-1064-02-E12,FS-1072-02-F12,11R-0632-02-G03,FS-1153-02-H10,FS-1917-03-A02,FS-2805-03-A03,TS-02626-03-B05,FS-1255-03-C01,11J-337S-03-C06,FS-1198-03-C09,PS-6552-03-E10,BF-0753-03-F11,FS-1802-03-H01,7Y-0947-04-C09,EB-0727-04-F03,TS-02367-04-H08,BS-3167-05-D08,FS-3681-06-C02,FS-1257-06-G01,AS-5575-06-G05,CS-4063-06-H04